DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DECAP,2ª SEC,São Paulo,097 DP - Americanópolis,1,1,10226,1,2017,1/1/2017,19,2017,S.PAULO,26º D.P. SACOMA,DEL.SEC.2º SUL,DECAP,1/1/2017,04:19:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,61,11/6/1955,Parda,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,5ª SEC,São Paulo,010 DP - Penha de França,1,1,20210,1,2017,1/18/2017,469,2017,S.PAULO,10º D.P. PENHA DE FRANCA,DEL.SEC.5º LESTE,DECAP,1/18/2017,07:00:00 PM,Via pública,RODOVIA SP 070,18000,-23.520380324,-46.556459735,Vítima,Feminino,19,6/8/1997,Parda,ATENDENTE DE LANCHANOTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,7ª SEC,São Paulo,064 DP - Cidade A E Carvalho,1,1,20224,1,2017,1/12/2017,336,2017,S.PAULO,24º D.P. PONTE RASA,DEL.SEC.7º ITAQUERA,DECAP,1/11/2017,10:30:00 PM,Via pública,RUA MAPIXI,21,-23.5154325425926,-46.4515655679629,Vítima,Feminino,31,6/19/1985,Branca,VIGILANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,1,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,56,10/25/1960,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,40,6/12/1976,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,52,6/9/1964,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,62,3/29/1954,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,26,6/19/1990,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,41,8/18/1975,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,003 DP - Campinas,,1,70014,1,2017,1/1/2017,5,2017,CAMPINAS,PLANTÃO - 04 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/1/2017,12:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,24,11/24/1992,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
