DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DECAP,8ª SEC,São Paulo,054 DP - Cidade Tiradentes,1,1,20249,1,2022,1/30/2022,778,2022,S.PAULO,49º D.P. SAO MATEUS,DEL.SEC.8º SAO MATEUS,DECAP,1/30/2022,09:31:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,58,8/1/1963,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,7ª SEC,São Paulo,103 DP - Cohab Itaquera,1,1,10326,1,2022,1/4/2022,55,2022,S.PAULO,63º D.P. VILA JACUI,DEL.SEC.7º ITAQUERA,DECAP,1/4/2022,04:19:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,77,6/22/1944,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,5ª SEC,São Paulo,018 DP - Alto da Moóca,1,1,20218,1,2022,1/10/2022,35,2022,S.PAULO,18º D.P. ALTO DA MOOCA,DEL.SEC.5º LESTE,DECAP,1/10/2022,PELA MANHÃ,Via pública,RUA MARINA CRESPI,91,-23.55511494,-46.6042348509999,Vítima,Feminino,51,6/7/1970,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,074 DP - Jaraguá,1,1,20103,1,2022,1/4/2022,32,2022,S.PAULO,04ª DDM NORTE,DEL.SEC.4º NORTE,DECAP,1/3/2022,11:57:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,47,1/28/1974,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,009 DP - Campinas,,1,70367,1,2022,1/18/2022,57,2022,CAMPINAS,02ª DDM CAMPINAS,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,1/18/2022,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,3,11/13/2018,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,009 DP - Campinas,,1,70367,1,2022,1/18/2022,57,2022,CAMPINAS,02ª DDM CAMPINAS,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,1/18/2022,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,71,3/21/1950,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,009 DP - Campinas,1,1,70367,1,2022,1/18/2022,57,2022,CAMPINAS,02ª DDM CAMPINAS,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,1/18/2022,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,34,10/27/1987,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,006 DP - Campinas,1,1,900556,1,2022,1/18/2022,21,2022,CAMPINAS,1ª DIG-DEIC-DEINTER 2,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/18/2022,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,39,11/13/1982,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Ribeirão Preto,Santa Rosa do Viterbo,DM - Sta. Rosa Viterbo,1,1,100422,1,2022,1/3/2022,8,2022,S.ROSA DE VITERBO,DEL.POL.S.ROSA DE VITERBO,DEL.SEC.RIBEIRAO PRETO,DEINTER 3 - RIBEIRAO PRETO,1/3/2022,09:45:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,41,12/22/1980,Branca,MANICURE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Jaú,Dois Córregos,DM - Dois Córregos,1,1,60406,1,2022,1/4/2022,62,2022,DOIS CORREGOS,CPJ JAU,DEL.SEC.JAU,DEINTER 4 - BAURU,1/4/2022,04:04:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,27,1/23/1994,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
