DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DEINTER 4,SEC Bauru,Bauru,001 DP - Bauru,1,1,60404,1,2016,1/19/2016,1533,2016,BAURU,CENTRAL POL.JUDICIÁRIA-BAURU,DEL.SEC.BAURU,DEINTER 4 - BAURU,1/19/2016,04:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,32,10/16/1983,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Bauru,Bauru,001 DP - Bauru,,1,60404,1,2016,1/19/2016,1533,2016,BAURU,CENTRAL POL.JUDICIÁRIA-BAURU,DEL.SEC.BAURU,DEINTER 4 - BAURU,1/19/2016,04:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,72,9/27/1943,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Bauru,Bauru,001 DP - Bauru,,1,60404,1,2016,1/19/2016,1533,2016,BAURU,CENTRAL POL.JUDICIÁRIA-BAURU,DEL.SEC.BAURU,DEINTER 4 - BAURU,1/19/2016,04:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,27,1/25/1988,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,009 DP - Campinas,1,1,70942,2,2016,2/12/2016,1168,2016,CAMPINAS,DEL.SEC.2ª CAMPINAS-PLANTÃO,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,2/12/2016,04:15:00 AM,Saúde,AVENIDA RUI RODRIGUES,13000,-22.9509109011795,-47.1118801061662,Vítima,Feminino,29,10/25/1986,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,090 DP - Parque Novo Mundo,1,1,10336,2,2016,2/7/2016,1393,2016,S.PAULO,73º D.P. JACANA,DEL.SEC.4º NORTE,DECAP,2/7/2016,05:30:00 AM,Via pública,RUA CANAPOLIS,247,-23.4931301546153,-46.5797554043076,Vítima,Feminino,39,9/29/1976,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Botucatu,Conchas,DM - Conchas,1,1,120206,2,2016,2/15/2016,83,2016,CONCHAS,DEL.POL.CONCHAS,DEL.SEC.BOTUCATU,DEINTER 7 - SOROCABA,2/15/2016,12:00:00 AM,Via pública,RUA SILVINO PAES,46,-23.0170477110658,-48.0147512860607,Vítima,Feminino,23,3/9/1992,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Jundiaí,Várzea Paulista,DM - Várzea Pta.,1,1,70411,2,2016,2/20/2016,1102,2016,VARZEA PAULISTA,DEL.POL.VARZEA PAULISTA,DEL.SEC.JUNDIAI,DEINTER 2 - CAMPINAS,2/20/2016,11:55:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,46,10/6/1969,Parda,ENCARREGADO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,025 DP - Parelheiros,1,1,10374,2,2016,2/1/2016,1057,2016,S.PAULO,101º D.P. JDIM IMBUIAS,DEL.SEC.6º SANTO AMARO,DECAP,1/31/2016,A TARDE,Area não ocupada,RUA ANTONIO BURLINI,290,-23.7766245051669,-46.7053536396043,Vítima,Feminino,NULL,NULL,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Ribeirão Preto,Ribeirão Preto,005 DP - Ribeirão Preto,1,1,100919,3,2016,3/3/2016,4588,2016,RIBEIRAO PRETO,CENTRAL POL. JUD. RIB. PRETO,DEL.SEC.RIBEIRAO PRETO,DEINTER 3 - RIBEIRAO PRETO,3/3/2016,04:37:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,52,8/13/1963,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,5ª SEC,São Paulo,010 DP - Penha de França,1,1,20210,3,2016,3/19/2016,2578,2016,S.PAULO,10º D.P. PENHA DE FRANCA,DEL.SEC.5º LESTE,DECAP,3/19/2016,11:04:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,2,9/28/2013,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
