DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DECAP,1ª SEC,São Paulo,003 DP - Campos Elísios,1,1,10103,1,2019,1/24/2019,364,2019,S.PAULO,03º D.P. CAMPOS ELISEOS,DEL.SEC.1º CENTRO,DECAP,1/24/2019,09:40:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,34,5/23/1984,Parda,AUTONOMO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,047 DP - Capão Redondo,1,1,10247,1,2019,1/22/2019,805,2019,S.PAULO,47º D.P. CAPAO REDONDO,DEL.SEC.6º SANTO AMARO,DECAP,1/22/2019,05:33:00 AM,Via pública,RUA JAIME GUIMARAES COSTA,47,-23.683680673782,-46.7811905916504,Vítima,Feminino,49,2/14/1969,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,004 DP - Campinas,1,1,70010,1,2019,1/4/2019,134,2019,CAMPINAS,PLANTÃO - 01 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,1/4/2019,04:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,13,4/21/2005,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Jundiaí,Jundiaí,006 DP - Jundiai,1,1,70946,1,2019,1/27/2019,390,2019,JUNDIAI,PLANTÃO - 01º D.P. JUNDIAI,DEL.SEC.JUNDIAI,DEINTER 2 - CAMPINAS,1/27/2019,03:55:00 PM,Estabelecimento prisional,AVENIDA AUGUSTA ZORZI BARADEL,0,-23.2676611479999,-46.8678999109999,Vítima,Feminino,22,8/8/1996,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Mogi-Guaçu,Pedreira,DM - Pedreiras,1,1,70320,1,2019,1/3/2019,25,2019,PEDREIRA,DEL.POL.PEDREIRA,DEL.SEC.MOGI GUAÇU,DEINTER 2 - CAMPINAS,1/3/2019,05:20:00 AM,Via pública,RUA ÂNGELO SCARPATO,1,-22.7230009479999,-46.893262176,Vítima,Feminino,39,11/17/1979,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC São Carlos,Ibaté,DM - Ibaté,1,1,100911,1,2019,1/22/2019,172,2019,S.CARLOS,DEL.SEC.SÃO CARLOS PLANTÃO,DEL.SEC.SAO CARLOS,DEINTER 3 - RIBEIRAO PRETO,1/22/2019,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,22,9/24/1996,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Ourinhos,Ourinhos,002 DP - Ourinhos,1,1,80505,1,2019,1/19/2019,156,2019,OURINHOS,DEL.SEC.OURINHOS PLANTÃO,DEL.SEC.OURINHOS,DEINTER 4 - BAURU,1/19/2019,04:21:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,59,8/6/1959,Branca,COMERCIANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC São José Rio Preto,Poloni,DM - Poloni,1,1,110315,1,2019,1/19/2019,15,2019,POLONI,DEL.POL.POLONI,DEL.SEC.S.JOSE DO RIO PRETO,DEINTER 5 - SAO JOSE DO RIO PRETO,1/19/2019,11:10:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,54,3/15/1964,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC São José Rio Preto,São José do Rio Preto,005 DP - São José do Rio Preto,1,1,110429,1,2019,1/18/2019,656,2019,S.JOSE DO RIO PRETO,DEL.SEC.S.J RIO PRETO PLANTÃO,DEL.SEC.S.JOSE DO RIO PRETO,DEINTER 5 - SAO JOSE DO RIO PRETO,1/18/2019,01:10:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,37,7/9/1981,Parda,ENFERMEIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 6,SEC Santos,Praia Grande,DM - Praia Grande,1,1,40209,1,2019,1/4/2019,141,2019,PRAIA GRANDE,01º D.P. PRAIA GRANDE-VL. TUPI,DEL.SEC.PRAIA GRANDE,DEINTER 6 - SANTOS,1/4/2019,02:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,39,11/15/1979,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
