DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DECAP,3ª SEC,São Paulo,023 DP - Perdizes,1,1,10357,1,2021,1/1/2021,2,2021,S.PAULO,91º D.P. CEASA,DEL.SEC.3º OESTE,DECAP,1/1/2021,04:42:00 AM,Hospedagem,ALAMEDA OLGA,436,-23.530261219,-46.664189489,Vítima,Feminino,35,3/26/1985,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,080 DP - Vila Joaniza,1,1,10371,1,2021,1/3/2021,29,2021,S.PAULO,98º D.P. JARDIM MIRIAM,DEL.SEC.6º SANTO AMARO,DECAP,1/2/2021,09:33:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,26,8/16/1994,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,098 DP - Jardim Míriam,1,1,10371,1,2021,1/2/2021,22,2021,S.PAULO,98º D.P. JARDIM MIRIAM,DEL.SEC.6º SANTO AMARO,DECAP,1/2/2021,11:24:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,21,8/6/1999,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 10,SEC Araçatuba,Buritama,DM - Buritama,1,1,50228,1,2021,1/14/2021,40,2021,BURITAMA,DEL.POL.BURITAMA,DEL.SEC.ARACATUBA,DEINTER 10 - ARAÇATUBA,1/14/2021,09:30:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,67,10/7/1953,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Marília,Marília,002 DP - Marília,1,1,80504,1,2021,1/4/2021,91,2021,MARILIA,DEL.SEC.MARÍLIA PLANTÃO,DEL.SEC.MARILIA,DEINTER 4 - BAURU,1/4/2021,10:18:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,48,7/28/1972,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC Novo Horizonte,Novo Horizonte,DM - Novo Horizonte,1,1,110714,1,2021,1/20/2021,70,2021,NOVO HORIZONTE,DEL.POL.PLANTÃO NOVO HORIZONTE,DEL.SEC.NOVO HORIZONTE,DEINTER 5 - SAO JOSE DO RIO PRETO,1/20/2021,06:45:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,57,4/23/1963,Branca,PROFESSOR(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Casa Branca,Tambaú,DM - Tambaú,1,1,70200,1,2021,1/10/2021,42,2021,CASA BRANCA,DEL.SEC.CASA BRANCA,DEL.SEC.CASA BRANCA,DEINTER 9 - PIRACICABA,1/10/2021,12:30:00 AM,Via pública,RUA SALVADOR PÔRTO,830,-21.694403231,-47.2574146169999,Vítima,Feminino,27,4/5/1993,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Piracicaba,Piracicaba,003 DP - Piracicaba,1,1,70922,1,2021,1/20/2021,197,2021,PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,DEL.SEC.PIRACICABA,DEINTER 9 - PIRACICABA,1/20/2021,03:55:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,29,3/13/1991,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Rio Claro,Rio Claro,001 DP - Rio Claro,1,1,70924,1,2021,1/31/2021,768,2021,RIO CLARO,DEL.SEC.RIO CLARO PLANTÃO,DEL.SEC.RIO CLARO,DEINTER 9 - PIRACICABA,1/31/2021,06:20:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,22,1/24/1999,Branca,CAIXA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC São João Boa Vista,Vargem Grande do Sul,DM - Vargem Grande do Sul,1,1,70708,1,2021,1/4/2021,4,2021,VARGEM GRANDE DO SUL,DEL.POL.VARGEM GRANDE DO SUL,DEL.SEC.S.JOÃO DA BOA VISTA,DEINTER 9 - PIRACICABA,1/4/2021,01:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,49,4/10/1971,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Santo André,Santo André,006 DP - Santo André,1,1,30107,1,2021,1/28/2021,208,2021,S.ANDRE,06º D.P. SANTO ANDRÉ,DEL.SEC.SANTO ANDRÉ,DEMACRO,1/28/2021,08:09:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,22,2/17/1998,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,028 DP - Freguesia do Ó,1,1,20103,2,2021,2/1/2021,341,2021,S.PAULO,04ª DDM NORTE,DEL.SEC.4º NORTE,DECAP,2/1/2021,03:27:00 AM,Via pública,RUA CORONEL MARINHO SOBRINHO,38,-23.4794822896874,-46.679010622769,Vítima,Feminino,30,11/19/1990,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,073 DP - Jaçanã,1,1,10336,2,2021,2/20/2021,974,2021,S.PAULO,73º D.P. JACANA,DEL.SEC.4º NORTE,DECAP,2/20/2021,01:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,29,5/7/1991,Branca,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
