DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DEINTER 2,SEC Bragança Paulista,Bragança Paulista,002 DP - Bragança Pta.,1,1,70929,1,2018,1/15/2018,321,2018,BRAGANCA PAULISTA,DEL.SEC.BRAGANÇA PTA PLANTÃO,DEL.SEC.BRAGANÇA PAULISTA,DEINTER 2 - CAMPINAS,1/15/2018,06:30:00 PM,Unidade rural,ESTRADA BAIRRO ARARA DOS PEREIRAS,0,-22.9580735131246,-46.5458588117031,Vítima,Feminino,22,8/11/1995,Branca,BALCONISTA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Lins,Lins,002 DP - Lins,1,1,60405,1,2018,1/7/2018,150,2018,LINS,CPJ LINS,DEL.SEC.LINS,DEINTER 4 - BAURU,1/7/2018,12:50:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,44,2/27/1973,Branca,AJUDANTE GERAL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Sorocaba,Sorocaba,005 DP - Sorocaba,1,1,120607,1,2018,1/3/2018,141,2018,SOROCABA,PLANTÃO DE SOROCABA - Z. NORTE,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,1/3/2018,12:45:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,46,9/4/1971,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Americana,Engenheiro Coelho,DM - Engenheiro Coelho,1,1,70309,1,2018,1/28/2018,292,2018,ARTUR NOGUEIRA,DEL.POL.ARTUR NOGUEIRA,DEL.SEC.AMERICANA,DEINTER 9 - PIRACICABA,1/28/2018,12:34:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,45,8/22/1972,Parda,AJUDANTE GERAL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Piracicaba,Piracicaba,004 DP - Piracicaba,1,1,70538,1,2018,1/16/2018,117,2018,PIRACICABA,DDM PIRACICABA,DEL.SEC.PIRACICABA,DEINTER 9 - PIRACICABA,1/16/2018,PELA MANHÃ,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,56,2/16/1961,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,2ª SEC,São Paulo,083 DP - Parque Bristol,1,1,10226,2,2018,2/11/2018,882,2018,S.PAULO,26º D.P. SACOMA,DEL.SEC.2º SUL,DECAP,2/11/2018,02:45:00 AM,Via pública,RUA ARATIMBO,98,-23.649500996125,-46.597479296,Vítima,Feminino,23,4/28/1994,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,099 DP - Campo Grande,1,1,10372,2,2018,2/15/2018,387,2018,S.PAULO,99º D.P. CAMPO GRANDE,DEL.SEC.6º SANTO AMARO,DECAP,2/15/2018,02:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,77,7/8/1940,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,8ª SEC,São Paulo,066 DP - Vale do Aricanduva,1,1,10353,2,2018,2/5/2018,718,2018,S.PAULO,53º D.P. PARQUE DO CARMO,DEL.SEC.8º SAO MATEUS,DECAP,2/5/2018,01:18:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,28,4/27/1989,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,8ª SEC,São Paulo,069 DP - Teotônio Vilela,1,1,10362,2,2018,2/10/2018,1362,2018,S.PAULO,69º D.P. TEOTONIO VILELA,DEL.SEC.8º SAO MATEUS,DECAP,2/10/2018,02:00:00 PM,Via pública,AVENIDA ARQUITETO VILANOVA ARTIGAS,62,-23.6142769734717,-46.5018218800652,Vítima,Feminino,31,9/29/1986,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 1,SEC Guaratinguetá,Canas,DM - Canas,1,1,130204,2,2018,2/13/2018,260,2018,LORENA,DEL.POL.LORENA,DEL.SEC.GUARATINGUETA,DEINTER 1 - SAO JOSE DOS CAMPOS,2/13/2018,10:11:00 AM,Via pública,AVENIDA 22 DE MARÇO,130,-22.7032259279999,-45.0567735189999,Vítima,Feminino,19,9/1/1998,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
